key,zh-tw,zh-cn,en
dialog.file_selector.status_partial,部分暫存,部分暂存,Partial
dialog.file_selector.status_untracked,未追蹤,未跟踪,Untracked
dialog.file_selector.status_staged,已暫存,已暂存,Staged
dialog.file_selector.status_modified,修改中,修改中,Modified
dialog.file_selector.status_deleted,已刪除,已删除,Deleted
dialog.file_selector.status_unknown,未知,未知,Unknown
dialog.file_selector.commit_section,操作訊息,操作消息,Commit Message
dialog.file_selector.select_files_warning,請選擇檔案,请选择文件,Please select files
dialog.file_selector.commit_msg_required,Commit 必須填寫訊息,Commit 必须填写消息,Commit message is required
dialog.file_selector.add_commit_btn,✓ Add + Commit,✓ Add + Commit,✓ Add + Commit
dialog.file_selector.add_only_btn,➕ 僅 Add,➕ 仅 Add,➕ Add Only
dialog.file_selector.stash_btn,📦 Stash 選中,📦 Stash 选中,📦 Stash Selected
dialog.file_selector.select_all_btn,全選,全选,Select All
dialog.file_selector.deselect_all_btn,清空,清空,Deselect
dialog.file_selector.error_read,狀態讀取失敗: {err},状态读取失败: {err},Failed to read status: {err}
dialog.restore.hash_required,必須提供 Commit Hash,必须提供 Commit Hash,Commit Hash is required
dialog.restore.title,還原自: {hash},还原文件自: {hash},Restore from: {hash}
dialog.restore.header,📂 從 Commit [{hash}] 提取檔案內容,📂 从 Commit [{hash}] 提取文件内容,📂 Extract files from Commit [{hash}]
dialog.restore.overwrite_warning,注意：這會直接覆蓋工作區檔案，且不會自動 Commit。,注意：这会直接覆盖工作区文件，且不会自动 Commit。,Warning: This will overwrite working directory files without creating a commit.
dialog.restore.file_list_section,該次提交的變更檔案,该次提交的变更文件,Files Changed in This Commit
dialog.restore.no_files_error,找不到 Commit [{hash}] 的檔案變更。\n請確認 Hash 是否正確（例如：a1b2c3d）。,找不到 Commit [{hash}] 的文件变更。\n请确认 Hash 是否正确（例如：a1b2c3d）。,No file changes found for Commit [{hash}].\nPlease verify the hash is correct (e.g. a1b2c3d).
dialog.restore.confirm_title,確認還原,确认还原,Confirm Restore
dialog.restore.confirm_msg,確定要將選中的 {count} 個檔案還原到 {hash} 的狀態？\n\n這只會修改檔案內容，不會切換分支，也不會產生 Commit。,确定要将选中的 {count} 个文件还原到 {hash} 的状态？\n\n这只会修改文件内容，不会切换分支，也不会产生 Commit。,Restore {count} selected file(s) to the state of {hash}?\n\nThis only modifies file contents without switching branches or creating a commit.
dialog.restore.done_msg,已成功提取 {count} 個檔案內容。\n請在工作區確認變更。,已成功提取 {count} 个文件内容。\n请在工作区确认变更。,Successfully extracted {count} file(s).\nPlease verify the changes in your working directory.
dialog.restore.extract_btn,⏮️ 提取內容至工作區,⏮️ 提取内容至工作区,⏮️ Extract to Working Directory
dialog.restore.read_error,讀取失敗: {err},读取失败: {err},Read failed: {err}
dialog.restore.select_warning,請至少勾選一個檔案,请至少勾选一个文件,Please select at least one file
dialog.preview.title,預覽: {filename},预览: {filename},Preview: {filename}
dialog.preview.header,檔案: {filepath} (移出文字區域或按右鍵關閉),文件: {filepath} (移出文字区域或按右键关闭),File: {filepath} (move away or right-click to close)
executor.no_commits,尚無 Commit 記錄,目前尚无 Commit 记录,No commits yet
executor.reflog_header,--- REFLOG HISTORY ---,--- REFLOG HISTORY ---,--- REFLOG HISTORY ---
executor.stage_check_error,[ERROR] 檢查暫存區失敗: {err},[ERROR] 检查暂存区失败: {err},[ERROR] Stage check failed: {err}
cmd.checkout_branch.name,建立並切換分支,新建并切换分支,Create and Switch Branch
cmd.checkout_branch.param.branch,新分支名稱,新分支名称,New Branch Name
cmd.checkout_branch.param.create,建立新分支 (-b),新建分支 (-b),Create New Branch (-b)
cmd.rebase_branch.name,Rebase 到分支,Rebase 到分支,Rebase to Branch
cmd.rebase_branch.param.branch,目標分支,目标分支,Target Branch
cmd.rebase_interactive.name,Rebase 互動模式,Rebase Interactive,Rebase Interactive
cmd.rebase_interactive.param.commit,起始 Commit (HEAD~N 或 Hash),起始 Commit (HEAD~N 或 Hash),Start Commit (HEAD~N or Hash)
cmd.rebase_interactive.param.interactive,互動模式 (-i),交互模式 (-i),Interactive Mode (-i)
cmd.cherry_pick.name,Cherry-pick,Cherry-pick,Cherry-pick
cmd.cherry_pick.param.commit,Commit Hash (可多個，空格分隔),Commit Hash (可多个，空格分隔),Commit Hash (multiple space-separated)
cmd.cherry_pick.param.no_commit,不自動提交 (-n),不自动提交 (-n),Do not auto-commit (-n)
cmd.restore_file.name,從特定 Commit 還原檔案,从特定提交还原文件,Restore File from Commit
cmd.restore_file.param.commit,Commit Hash,Commit Hash,Commit Hash
cmd.reset_soft.name,Soft Reset,Soft Reset,Soft Reset
cmd.reset_soft.param.commit,目標 Commit (HEAD~N 或 Hash),目标 Commit (HEAD~N 或 Hash),Target Commit (HEAD~N or Hash)
cmd.reset_soft.param.soft,Soft 模式 (保留變更),Soft 模式 (保留修改),Soft Mode (Keep Changes)
cmd.reset_hard.name,Hard Reset,Hard Reset,Hard Reset
cmd.reset_hard.param.commit,目標 Commit (HEAD~N 或 Hash),目标 Commit (HEAD~N 或 Hash),Target Commit (HEAD~N or Hash)
cmd.reset_hard.param.hard,Hard 模式 (捨棄所有變更),Hard 模式 (丢弃所有修改),Hard Mode (Discard All Changes)
cmd.stash_commit.name,Stash → Commit Squash,Stash -> Commit Squash,Stash to Commit Squash
cmd.stash_commit.param.message,Commit 訊息 (預設: WIP),Commit 消息 (默认: WIP),Commit Message (default: WIP)
cmd.commit_message.name,Commit 訊息,Commit 消息,Commit Message
cmd.commit_message.param.message,Commit 訊息,Commit 消息,Commit Message
cmd.commit_amend.name,Commit Amend,Commit Amend,Commit Amend
cmd.commit_amend.param.message,Commit 訊息 (留空則不改),Commit 消息 (留空则不改),Commit Message (leave empty to keep)
cmd.commit_amend.param.amend,修改上次提交 (--amend),修改上次提交 (--amend),Amend Last Commit (--amend)
cmd.commit_amend.param.no_edit,不修改訊息 (--no-edit),不修改消息 (--no-edit),Do not Edit Message (--no-edit)
cmd.commit_squash.name,Squash Commit,Squash Commit,Squash Commit
cmd.commit_squash.param.message,Squash 訊息,Squash 消息,Squash Message
cmd.force_push.name,Force Push,Force Push,Force Push
cmd.force_push.param.remote,遠端名稱,远端名称,Remote Name
cmd.force_push.param.branch,分支名稱 (留空=當前),分支名称 (留空=当前),Branch Name (empty = current)
cmd.force_push.param.force,強制推送 (-f),强制推送 (-f),Force Push (-f)
cmd.force_push.param.force_with_lease,安全強推 (--force-with-lease),安全强推 (--force-with-lease),Safe Force Push (--force-with-lease)
cmd.delete_branch.name,Delete Branch,Delete Branch,Delete Branch
cmd.delete_branch.param.branch,分支名稱 (可多個，空格分隔),分支名称 (可多个，空格分隔),Branch Name (multiple space-separated)
cmd.delete_branch.param.force_delete,強制刪除 (-D),强制删除 (-D),Force Delete (-D)
cmd.delete_remote_branch.name,Delete Remote Branch,Delete Remote Branch,Delete Remote Branch
cmd.delete_remote_branch.param.remote,遠端名稱,远端名称,Remote Name
cmd.delete_remote_branch.param.branch,分支名稱,分支名称,Branch Name
cmd.delete_remote_branch.param.delete,刪除遠端分支 (--delete),删除远端分支 (--delete),Delete Remote Branch (--delete)
cmd.prune.name,Prune Branches,Prune Branches,Prune Branches
cmd.prune.param.remote,遠端名稱,远端名称,Remote Name
cmd.prune.param.dry_run,僅預覽 (--dry-run),仅预览 (--dry-run),Preview Only (--dry-run)
cmd.checkout.name,Checkout (分支/Commit),Checkout (分支/Commit),Checkout (Branch/Commit)
cmd.checkout.param.branch,分支或 Commit (branch 或 hash),分支或 Commit (branch 或 hash),Branch or Commit (branch or hash)
cmd.checkout.param.create,建立新分支 (-b),新建分支 (-b),Create New Branch (-b)
cmd.create_tag.name,Create Tag,Create Tag,Create Tag
cmd.create_tag.param.tag,Tag 名稱,Tag 名称,Tag Name
cmd.create_tag.param.message,Tag 訊息 (-m),Tag 消息 (-m),Tag Message (-m)
cmd.create_tag.param.commit,指定 Commit (留空=HEAD),指定 Commit (留空=HEAD),Target Commit (empty = HEAD)
cmd.delete_tag.name,Delete Tag,Delete Tag,Delete Tag
cmd.delete_tag.param.tag,Tag 名稱 (可多個，空格分隔),Tag 名称 (可多个，空格分隔),Tag Name (multiple space-separated)
cmd.delete_tag.param.delete,刪除標籤 (-d),删除标签 (-d),Delete Tag (-d)
cmd.delete_remote_tag.name,刪除遠端標籤,删除远端标签,Delete Remote Tag
cmd.delete_remote_tag.param.remote,遠端名稱,远端名称,Remote Name
cmd.delete_remote_tag.param.tag,Tag 名稱,Tag 名称,Tag Name
cmd.delete_remote_tag.param.delete,刪除 (--delete),删除 (--delete),Delete (--delete)
cmd.checkout_file.name,Checkout File,Checkout File,Checkout File
cmd.checkout_file.param.source,來源 (Commit/Branch，留空=HEAD),来源 (Commit/Branch，留空=HEAD),Source (Commit/Branch empty = HEAD)
cmd.checkout_file.param.file,檔案路徑,文件路径,File Path
btn.reverse_commit,⏮️ Reverse Commit,⏮️ Reverse Commit,⏮️ Reverse Commit
dialog.revert.title,⏮️ Reverse Commit (git revert),⏮️ Reverse Commit (git revert),⏮️ Reverse Commit (git revert)
dialog.revert.desc,建立一個新的 commit，其內容是指定 commit 的完全反向操作。\n原歷史不會被改動，適合已推送的分支。,建立一个新的 commit，其内容是指定 commit 的完全反向操作。\n原历史不会被改动，适合已推送的分支。,Creates a new commit that is the exact inverse of the specified commit.\nDoes not rewrite history — safe for pushed branches.
dialog.revert.commit_label,要反轉的 Commit *,要反转的 Commit *,Commit to Reverse *
dialog.revert.no_commit_cb,--no-commit（僅暫存反向變更，不自動建立 commit）,--no-commit（仅暂存反向变更，不自动建立 commit）,--no-commit (stage reverse changes only; do not auto-commit)
dialog.revert.execute_btn,⏮️ 執行 Revert,⏮️ 执行 Revert,⏮️ Execute Revert
dialog.revert.missing_commit,請選擇或輸入要反轉的 Commit Hash,请选择或输入要反转的 Commit Hash,Please select or enter the Commit Hash to revert
